job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
AI00001,Data Scientist,219728,EX,PT,Sweden,M,Sweden,0,"Python, Computer Vision, R, Docker",Associate,13,Transportation,6.6,TechCorp Inc
AI00002,Head of AI,230237,EX,PT,Japan,L,Japan,50,"Kubernetes, MLOps, Tableau, Python",Bachelor,10,Transportation,8.5,Cloud AI Solutions
AI00003,Data Engineer,128890,EX,CT,Germany,S,Germany,100,"Spark, Scala, Hadoop, PyTorch, GCP",Bachelor,12,Automotive,5.5,Quantum Computing Inc
AI00004,Computer Vision Engineer,96349,MI,FL,Finland,L,Finland,50,"MLOps, Linux, Tableau, Python",PhD,2,Automotive,6.8,Cognitive Computing
AI00005,Robotics Engineer,63065,EN,FT,France,S,France,100,"R, Scala, SQL, GCP, Python",Associate,0,Finance,9.3,Advanced Robotics
AI00006,Data Scientist,111794,SE,CT,Singapore,S,Norway,50,"NLP, MLOps, TensorFlow",Master,7,Technology,5.1,Cloud AI Solutions
AI00007,AI Consultant,113897,SE,PT,Canada,L,Poland,50,"PyTorch, Linux, NLP",Associate,9,Gaming,7.4,AI Innovations
AI00008,Head of AI,168639,SE,FT,Australia,L,Vietnam,100,"Spark, SQL, Tableau, Computer Vision, Linux",Associate,9,Consulting,5.5,TechCorp Inc
AI00009,Data Scientist,92624,MI,FT,Japan,L,Japan,50,"Kubernetes, SQL, Docker, Deep Learning",Bachelor,4,Government,9.5,DataVision Ltd
AI00010,Machine Learning Engineer,215627,EX,FT,United Kingdom,M,United Kingdom,50,"Git, Scala, GCP",PhD,10,Government,7.8,DeepTech Ventures
AI00011,Data Engineer,129706,MI,CT,Denmark,L,Denmark,0,"SQL, PyTorch, Statistics, TensorFlow, NLP",Bachelor,3,Consulting,5.2,Cloud AI Solutions
AI00012,Deep Learning Engineer,76559,EN,FL,United States,S,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,8.3,Machine Intelligence Group
AI00013,Principal Data Scientist,185834,EX,CT,United States,L,United States,100,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,8.9,Autonomous Tech
AI00014,Principal Data Scientist,89801,MI,PT,Sweden,M,Belgium,100,"Linux, MLOps, Deep Learning",Master,3,Healthcare,8.7,Cloud AI Solutions
AI00015,Principal Data Scientist,252601,EX,PT,Norway,L,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,5.1,TechCorp Inc
AI00016,AI Product Manager,20520,EN,FT,India,S,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,7.5,Predictive Systems
AI00017,Robotics Engineer,192789,SE,PT,Switzerland,S,Switzerland,100,"Tableau, Git, Python, Java",Master,5,Healthcare,5.9,Quantum Computing Inc
AI00018,Machine Learning Researcher,107184,SE,FL,Singapore,S,Singapore,50,"Azure, GCP, Computer Vision",Master,7,Automotive,9.2,DeepTech Ventures
AI00019,Robotics Engineer,141909,SE,FT,Netherlands,M,Netherlands,0,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,7.8,Cloud AI Solutions
AI00020,Data Engineer,118238,SE,FL,Ireland,M,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,8.2,TechCorp Inc
AI00021,Data Scientist,155210,SE,PT,Australia,L,Argentina,0,"Spark, NLP, AWS",Master,7,Energy,9.7,Neural Networks Co
AI00022,Data Engineer,96699,SE,FT,Australia,S,Australia,0,"GCP, Linux, Mathematics",PhD,5,Technology,9.7,TechCorp Inc
AI00023,AI Software Engineer,161477,SE,FT,France,L,France,50,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,9.5,DataVision Ltd
AI00024,AI Software Engineer,316709,EX,CT,Denmark,L,Denmark,50,"Data Visualization, Azure, Statistics",PhD,18,Transportation,7.6,Autonomous Tech
AI00025,ML Ops Engineer,62089,MI,CT,Canada,S,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,9.7,Predictive Systems
AI00026,Principal Data Scientist,77985,EN,CT,Denmark,S,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,9.4,Neural Networks Co
AI00027,Robotics Engineer,55315,EN,PT,Austria,S,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,9.5,Future Systems
AI00028,AI Architect,246647,EX,PT,Singapore,M,Singapore,50,"Scala, Mathematics, SQL",Master,16,Telecommunications,6.6,DeepTech Ventures
AI00029,Deep Learning Engineer,29050,EN,FT,China,S,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,5.2,AI Innovations
AI00030,Head of AI,120599,MI,CT,United Kingdom,L,United Kingdom,50,"Linux, AWS, Python",Master,4,Energy,6.4,Quantum Computing Inc
AI00031,AI Specialist,277727,EX,PT,Singapore,L,Singapore,50,"Python, Git, TensorFlow",Associate,13,Healthcare,9.0,Future Systems
AI00032,Data Engineer,158734,EX,PT,Canada,S,South Korea,50,"Data Visualization, NLP, Computer Vision",Master,16,Retail,6.2,Future Systems
AI00033,Data Engineer,139438,SE,FL,Japan,L,Japan,0,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,9.9,Cognitive Computing
AI00034,Head of AI,131432,SE,PT,Singapore,M,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,5.3,Cognitive Computing
AI00035,Data Analyst,140290,MI,PT,Denmark,L,Denmark,50,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,5.7,DeepTech Ventures
AI00036,Research Scientist,90858,MI,CT,France,L,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,7.1,DataVision Ltd
AI00037,Autonomous Systems Engineer,126597,SE,FL,United Kingdom,L,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,7.8,Machine Intelligence Group
AI00038,AI Architect,53274,EN,FL,Finland,M,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,6.0,Autonomous Tech
AI00039,Machine Learning Researcher,155357,EX,FL,Sweden,S,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,5.2,Cloud AI Solutions
AI00040,Principal Data Scientist,116292,MI,FL,Netherlands,M,Hungary,50,"Java, Docker, Python",Bachelor,4,Gaming,7.9,Quantum Computing Inc
AI00041,Computer Vision Engineer,140363,SE,CT,Austria,L,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,9.8,TechCorp Inc
AI00042,Research Scientist,162306,SE,CT,Israel,L,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,5.6,Neural Networks Co
AI00043,Data Analyst,134224,EX,FT,China,L,China,0,"Python, SQL, Git",Master,16,Technology,6.6,Quantum Computing Inc
AI00044,Research Scientist,77500,MI,CT,United Kingdom,S,Norway,0,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,10.0,Machine Intelligence Group
AI00045,Computer Vision Engineer,154083,SE,PT,Ireland,L,Ireland,50,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,7.7,Neural Networks Co
AI00046,Machine Learning Engineer,79445,MI,FL,Ireland,M,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,7.2,Cloud AI Solutions
AI00047,Head of AI,157466,SE,FL,Switzerland,M,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,5.2,Future Systems
AI00048,Head of AI,38972,MI,FT,India,L,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,7.1,AI Innovations
AI00049,Deep Learning Engineer,66090,MI,PT,Canada,S,Canada,0,"AWS, SQL, R, Scala",PhD,3,Technology,5.3,DeepTech Ventures
AI00050,Data Analyst,47943,MI,PT,China,L,China,50,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,6.2,Smart Analytics
AI00051,ML Ops Engineer,217318,EX,PT,Ireland,M,Malaysia,100,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,7.8,Cognitive Computing
AI00052,AI Architect,84705,MI,CT,Norway,S,Norway,50,"Scala, Spark, PyTorch",PhD,3,Government,6.6,Autonomous Tech
AI00053,NLP Engineer,36076,SE,FT,India,M,India,50,"Python, TensorFlow, Data Visualization",Master,7,Media,7.5,Cognitive Computing
AI00054,AI Consultant,160216,EX,FT,Israel,L,Israel,100,"Deep Learning, Linux, Python, SQL",Master,15,Education,6.0,Predictive Systems
AI00055,Deep Learning Engineer,60826,EN,FT,United Kingdom,S,United Kingdom,0,"SQL, Kubernetes, Azure",Bachelor,0,Energy,6.3,Autonomous Tech
AI00056,Deep Learning Engineer,237320,EX,PT,United Kingdom,M,United Kingdom,0,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,7.7,DataVision Ltd
AI00057,Robotics Engineer,60243,EN,FL,France,M,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,8.8,Future Systems
AI00058,Head of AI,74091,EN,PT,Japan,M,Japan,50,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,7.2,Quantum Computing Inc
AI00059,AI Specialist,68535,EN,FT,France,L,France,100,"SQL, Scala, PyTorch",Associate,1,Media,5.5,Machine Intelligence Group
AI00060,Robotics Engineer,99401,MI,FL,Norway,S,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,9.4,Quantum Computing Inc
AI00061,Machine Learning Researcher,67632,EN,FT,Ireland,L,Ireland,0,"Linux, GCP, Deep Learning",Master,0,Government,8.9,Advanced Robotics
AI00062,ML Ops Engineer,133163,SE,CT,Netherlands,M,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,7.9,Neural Networks Co
AI00063,Robotics Engineer,125752,MI,FT,Norway,S,Norway,0,"NLP, Statistics, Scala",Master,4,Automotive,6.0,Machine Intelligence Group
AI00064,AI Product Manager,70927,EN,CT,Japan,M,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,9.3,Quantum Computing Inc
AI00065,Data Engineer,80810,EN,PT,United Kingdom,L,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,5.4,Algorithmic Solutions
